"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: type"
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeKryo","thrpt",24,25,18960555.983519,2275671.807246,"ops/s",primitive
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeKryo","thrpt",24,25,2632442.903831,399290.164999,"ops/s",boxed
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeKryo","thrpt",24,25,48313185.216535,5501261.045501,"ops/s",polymorphic
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeKryo","thrpt",24,25,60991714.092572,7402150.318826,"ops/s",enum
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaFullOffHeap","thrpt",24,25,44583844.726487,2782418.997724,"ops/s",primitive
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaFullOffHeap","thrpt",24,25,2368274.932495,13700.603188,"ops/s",boxed
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaFullOffHeap","thrpt",24,25,78663189.541853,12938374.503316,"ops/s",polymorphic
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaFullOffHeap","thrpt",24,25,142144875.225442,11093358.062824,"ops/s",enum
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaFullOnHeap","thrpt",24,25,48647101.787999,3089553.965645,"ops/s",primitive
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaFullOnHeap","thrpt",24,25,2442718.310979,14223.871836,"ops/s",boxed
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaFullOnHeap","thrpt",24,25,75061796.150788,4783839.279434,"ops/s",polymorphic
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaFullOnHeap","thrpt",24,25,142138539.709058,14347787.970245,"ops/s",enum
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaPartialOffHeap","thrpt",24,25,1072944.431745,36784.246132,"ops/s",primitive
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaPartialOffHeap","thrpt",24,25,1140073.803135,37322.860937,"ops/s",boxed
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaPartialOffHeap","thrpt",24,25,5592295.109802,817920.861649,"ops/s",polymorphic
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaPartialOffHeap","thrpt",24,25,124398065.240333,74288611.753603,"ops/s",enum
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaPartialOnHeap","thrpt",24,25,1230631.403944,110265.140913,"ops/s",primitive
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaPartialOnHeap","thrpt",24,25,1008821.932404,34681.058705,"ops/s",boxed
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaPartialOnHeap","thrpt",24,25,6309196.817587,532659.365633,"ops/s",polymorphic
"de.hhu.bsinfo.skema.SkemaBenchmark.deserializeSkemaPartialOnHeap","thrpt",24,25,176202552.002930,89385922.234141,"ops/s",enum
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeKryo","thrpt",24,25,63257609.349857,1001836.555923,"ops/s",primitive
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeKryo","thrpt",24,25,9487058.848286,370405.096178,"ops/s",boxed
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeKryo","thrpt",24,25,141218299.726692,5494684.963790,"ops/s",polymorphic
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeKryo","thrpt",24,25,360687004.914092,2826449.930905,"ops/s",enum
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaFullOffHeap","thrpt",24,25,142665898.867504,566689.799062,"ops/s",primitive
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaFullOffHeap","thrpt",24,25,6923851.490925,65172.372087,"ops/s",boxed
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaFullOffHeap","thrpt",24,25,408097425.292681,6650935.143387,"ops/s",polymorphic
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaFullOffHeap","thrpt",24,25,710312873.050433,26908102.227311,"ops/s",enum
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaFullOnHeap","thrpt",24,25,135086102.272170,973799.071104,"ops/s",primitive
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaFullOnHeap","thrpt",24,25,6967471.861112,47380.513940,"ops/s",boxed
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaFullOnHeap","thrpt",24,25,406085959.975345,5042311.444420,"ops/s",polymorphic
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaFullOnHeap","thrpt",24,25,725043565.805754,19256115.688572,"ops/s",enum
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaPartialOffHeap","thrpt",24,25,3031739.021268,14450.155444,"ops/s",primitive
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaPartialOffHeap","thrpt",24,25,1312680.508500,12745.591864,"ops/s",boxed
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaPartialOffHeap","thrpt",24,25,33293076.424882,497221.866629,"ops/s",polymorphic
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaPartialOffHeap","thrpt",24,25,291675879.178413,5435218.963360,"ops/s",enum
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaPartialOnHeap","thrpt",24,25,2870822.367447,12003.063717,"ops/s",primitive
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaPartialOnHeap","thrpt",24,25,1357507.422616,16689.077815,"ops/s",boxed
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaPartialOnHeap","thrpt",24,25,31730276.280304,202500.110206,"ops/s",polymorphic
"de.hhu.bsinfo.skema.SkemaBenchmark.serializeSkemaPartialOnHeap","thrpt",24,25,284994637.916985,3545027.628880,"ops/s",enum
